ticket_id,ticket_text,category,priority
SAMPLE-001,I was charged twice for the same order.,Payment,High
SAMPLE-002,My payment was declined but the amount is pending in my bank account.,Payment,High
SAMPLE-003,Where can I download the invoice for my last purchase?,Payment,Low
SAMPLE-004,I need to update the card used for my next subscription payment.,Payment,Medium
SAMPLE-005,My returned item was received last week but the refund has not arrived.,Refund,Medium
SAMPLE-006,I received a damaged product and would like to request a refund.,Refund,High
SAMPLE-007,Can I return an unopened item that I ordered yesterday?,Refund,Low
SAMPLE-008,The refund amount is lower than the price on my receipt.,Refund,Medium
SAMPLE-009,I cannot sign in because the password reset email never arrives.,Account,High
SAMPLE-010,How do I change the email address on my account?,Account,Low
SAMPLE-011,My account is locked after several failed sign-in attempts.,Account,High
SAMPLE-012,My saved delivery address disappears whenever I update my profile.,Account,Medium
SAMPLE-013,Tracking says delivered but I have not received my parcel.,Shipping,High
SAMPLE-014,My order has not shipped after the estimated dispatch date.,Shipping,Medium
SAMPLE-015,Where can I find the tracking number for my order?,Shipping,Low
SAMPLE-016,Can you correct the apartment number before my order ships?,Shipping,Medium
SAMPLE-017,The checkout page freezes every time I press Place order.,Technical,High
SAMPLE-018,The mobile app closes when I open my order history.,Technical,Medium
SAMPLE-019,Product images fail to load on the website.,Technical,Medium
SAMPLE-020,How can I change the app display language?,Technical,Low
